label,role,scenario_name,mechanism_tags,key_observables,backend,geometry,solver_mode,restart_mode,hydraulic_mode,source_mode,source_pressure_independent,targeted_source_channel,configured_pf_rate,configured_theta_rate,target_constituent,source_pf,source_theta,source_region,converged,wall_time_seconds,degrees_of_freedom_total,mesh_num_cells_final,mesh_num_vertices_final,mass_final,ratio_final,min_J,mechanical_history_band,numerical_cost_band,min_J_min,min_J_time_of_min,min_J_final,min_J_duration_below_0_95,min_J_duration_below_0_8,min_J_duration_below_0_5,min_J_duration_below_0_2,min_J_recovered_above_0_95,min_Je_min,min_Je_time_of_min,max_pf_max,max_pf_time_of_max,p_eff_range_max,p_eff_range_time_of_max,source_pf_min,source_pf_time_of_min,source_pf_max,source_pf_time_of_max,source_pf_sign_change,source_theta_min,source_theta_time_of_min,source_theta_max,source_theta_time_of_max,source_theta_sign_change,J_fraction_ref_below_0_8_max,J_fraction_ref_below_0_8_time_of_max,J_fraction_def_below_0_8_max,J_fraction_def_below_0_8_time_of_max,J_p01_ref_min,J_p01_ref_time_of_min,J_p05_ref_min,J_p05_ref_time_of_min,J_p01_def_min,J_p01_def_time_of_min,J_p05_def_min,J_p05_def_time_of_min,low_J_extent_warning,min_J_min_all_attempts,min_J_time_of_min_all_attempts,max_pf_max_all_attempts,max_pf_time_of_max_all_attempts,p_eff_range_max_all_attempts,p_eff_range_time_of_max_all_attempts,source_pf_min_all_attempts,source_pf_time_of_min_all_attempts,source_pf_max_all_attempts,source_pf_time_of_max_all_attempts,source_pf_sign_change_all_attempts,source_theta_min_all_attempts,source_theta_time_of_min_all_attempts,source_theta_max_all_attempts,source_theta_time_of_max_all_attempts,source_theta_sign_change_all_attempts,accepted_steps,attempt_rows,min_dt_accepted,min_dt_attempted,failed_attempts_total,total_volume_ratio_final,lumen_volume_ratio_final,tissue_volume_ratio_final,area_ratio_final,domain_measure_ref_final,domain_measure_def_final,domain_measure_ratio_final,max_u_final,J_fraction_ref_below_0_8_final,J_fraction_def_below_0_8_final,J_p01_ref_final,J_p05_ref_final,J_p01_def_final,J_p05_def_final,lumen_interface_measure_ref_final,lumen_interface_measure_def_final,lumen_characteristic_length_ref_final,lumen_characteristic_length_def_final,flow_potential_min_final,flow_potential_max_final,flow_potential_range_final,p_eff_min_final,p_eff_max_final,p_eff_range_final,theta_eq_min_final,theta_eq_max_final,theta_eq_range_final,storage_strain_min_final,storage_strain_max_final,storage_strain_range_final
mig-source-s10-pf-only-autonomous-lumen-t020,peer,canonical disk source pf only autonomous closed direct start s10 t020 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,10.0,0.0,lumen,10.0,0.0,all,True,94.79399191704579,18342,2972,1550,0.8976010975227962,1.162226140674336,0.7467072240213118,amber,green,0.7415232035113266,0.017500000000000012,0.7467072240213118,0.0195,0.011499999999999996,0.0,0.0,False,0.7413059133686366,0.017500000000000012,0.9759139292046045,0.02,0.036487808606438014,0.02,10.0,0.0,10.0,0.0,False,0.0,0.0,0.0,0.0,False,0.004952562582703647,0.019000000000000013,0.0038129739975992605,0.019000000000000013,0.8464935531981646,0.02,0.9274020823478637,0.001,0.8628162972538637,0.02,0.9295880581700565,0.0005,False,0.7415232035113266,0.017500000000000012,0.9759139292046045,0.02,0.036487808606438014,0.02,10.0,0.0,10.0,0.0,False,0.0,0.0,0.0,0.0,False,41,41,0.0004999999999999866,0.0004999999999999866,0,1.007481975613602,0.9380840309925075,1.0175944482815396,1.007481975613602,3.140290796624407,3.1637863757843694,1.007481975613602,0.014454053812271064,0.004914869510229912,0.0037860613319410526,0.8464935531981646,0.9443520324466965,0.8628162972538637,0.9479971708116834,4.836554192157697,4.719618658911004,0.16515705564661398,0.15876984606609099,0.0010127808111440118,0.037500589417582025,0.036487808606438014,0.0010127808111440118,0.037500589417582025,0.036487808606438014,0.020120430353976978,0.029889050037529785,0.009768619683552807,0.0014302513440463869,0.03830002827225515,0.03686977692820876
mig-source-s10-pf-only-autonomous-tissue-t020,peer,canonical disk source pf only autonomous closed direct start s10 t020 tissue dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,-10.0,0.0,tissue,-10.0,0.0,all,True,68.7003108789213,18342,2972,1550,0.269542938198011,1.0201154933963228,1.027528874932384,green,green,0.8543555874175209,0.002,1.027528874932384,0.009500000000000005,0.0,0.0,0.0,True,0.8537012259876565,0.0025,0.5636662693841494,0.0,0.016930885475642022,0.010000000000000005,-10.0,0.0,-10.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8835152063220646,0.0015,0.9284896156250142,0.0005,0.8854298700266843,0.0015,0.9304821451191478,0.0005,False,0.8543555874175209,0.002,0.5636662693841494,0.0,0.016930885475642022,0.010000000000000005,-10.0,0.0,-10.0,0.0,False,0.0,0.0,0.0,0.0,False,41,41,0.0004999999999999866,0.0004999999999999866,0,1.041931776933612,0.0,1.041931776933612,1.041931776933612,3.140290796624407,3.2719687698151367,1.041931776933612,0.020987287348654005,0.0,0.0,1.029194202385156,1.0337712759072184,1.029229399887959,1.0338085332685472,0.0,0.0,0.0,0.0,0.0018486839775597144,0.013064792527585987,0.011216108550026273,0.0018486839775597144,0.013064792527585987,0.011216108550026273,0.027951559045443844,0.02985992267742698,0.0019083636319831357,0.0018918296875779367,0.014373619869012533,0.012481790181434596
mig-source-s10-pf-only-autonomous-lumen-t030,peer,canonical disk source pf only autonomous closed direct start s10 t030 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,10.0,0.0,lumen,10.0,0.0,all,True,154.64375327620655,18342,2972,1550,1.054615637353993,1.1642648357468275,0.8666770065149153,amber,green,0.7415232035113266,0.017500000000000012,0.8666770065149153,0.0295,0.018000000000000016,0.0,0.0,False,0.7413059133686366,0.017500000000000012,0.9931862572489323,0.02500000000000002,0.04644639818715431,0.02800000000000002,10.0,0.0,10.0,0.0,False,0.0,0.0,0.0,0.0,False,0.004952562582703647,0.019000000000000013,0.0038129739975992605,0.019000000000000013,0.8464935531981643,0.020000000000000014,0.9274020823478637,0.001,0.8618210355798542,0.020500000000000015,0.9295880581700565,0.0005,False,0.7415232035113266,0.017500000000000012,0.9931862572489323,0.02500000000000002,0.04644639818715431,0.02800000000000002,10.0,0.0,10.0,0.0,False,0.0,0.0,0.0,0.0,False,61,61,0.0004999999999999762,0.0004999999999999762,0,1.0292637325059317,0.9959480316723319,1.0379452906181887,1.0292637325059317,3.140290796624407,3.232187426487663,1.0292637325059317,0.02197795859484127,0.0,0.0,0.9176580085223625,0.9452508850400267,0.9191635011583952,0.9475700708394104,5.634336328905698,5.575159075260951,0.23042724373845952,0.23192950802467496,-0.0017877614237557155,0.03603806004696749,0.037825821470723206,-0.0017877614237557155,0.03603806004696749,0.037825821470723206,0.020079633022123112,0.02991016613720139,0.00983053311507828,-0.014541961640849085,0.05145445364665699,0.06599641528750608
mig-source-s10-pf-only-autonomous-tissue-t030,peer,canonical disk source pf only autonomous closed direct start s10 t030 tissue dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,-10.0,0.0,tissue,-10.0,0.0,all,True,104.29275175090879,18342,2972,1550,0.11252839836681547,0.9998348724091584,1.0726676355597207,green,green,0.8543555874175209,0.002,1.0726676355597207,0.009500000000000005,0.0,0.0,0.0,True,0.8537012259876565,0.0025,0.5636662693841494,0.0,0.016930885475642022,0.010000000000000005,-10.0,0.0,-10.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8835152063220646,0.0015,0.9284896156250142,0.0005,0.8854298700266843,0.0015,0.9304821451191478,0.0005,False,0.8543555874175209,0.002,0.5636662693841494,0.0,0.016930885475642022,0.010000000000000005,-10.0,0.0,-10.0,0.0,False,0.0,0.0,0.0,0.0,False,61,61,0.0004999999999999762,0.0004999999999999762,0,1.0733614069573845,0.0,1.0733614069573845,1.0733614069573845,3.140290796624407,3.3706669477200992,1.0733614069573845,0.036135707068782115,0.0,0.0,1.0726877877464434,1.0727638912802115,1.0726877877464434,1.072764018125807,0.0,0.0,0.0,0.0,-0.0035965188200075293,0.002351085481933841,0.00594760430194137,-0.0035965188200075293,0.002351085481933841,0.00594760430194137,0.02950936510362463,0.029923361513229104,0.00041399640960447515,-0.0036144689398873095,0.002373434650981252,0.005987903590868562
mig-source-s10-pf-only-autonomous-lumen-t040,peer,canonical disk source pf only autonomous closed direct start s10 t040 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,10.0,0.0,lumen,10.0,0.0,all,True,247.35173185612075,18342,2972,1550,1.2116301771851856,1.0923492712766754,0.9474217563336056,amber,green,0.7415232035113266,0.017500000000000012,0.9474217563336056,0.0395,0.018000000000000016,0.0,0.0,False,0.7413059133686366,0.017500000000000012,1.0254494383167514,0.04,0.04644639818715431,0.02800000000000002,10.0,0.0,10.0,0.0,False,0.0,0.0,0.0,0.0,False,0.004952562582703647,0.019000000000000013,0.0038129739975992605,0.019000000000000013,0.8464935531981643,0.020000000000000014,0.9274020823478637,0.001,0.8618210355798542,0.020500000000000015,0.9295880581700565,0.0005,False,0.7415232035113266,0.017500000000000012,1.0254494383167514,0.04,0.04644639818715431,0.02800000000000002,10.0,0.0,10.0,0.0,False,0.0,0.0,0.0,0.0,False,81,81,0.0004999999999999727,0.0004999999999999727,0,1.0569704584209891,1.0257247526098416,1.0695647586669732,1.0569704584209891,3.140290796624407,3.3191946028833126,1.0569704584209891,0.03638443865175469,0.0,0.0,0.9873470950637757,1.0078151231478154,0.9884259507359439,1.0087248021247124,4.487524511451043,4.534601299441183,0.4020651816888921,0.40812671820405616,-0.0020301452723786874,0.03187775338340376,0.03390789865578245,-0.0020301452723786874,0.03187775338340376,0.03390789865578245,0.01987275280841624,0.02992072183916875,0.010047969030752509,-0.02028820891919781,0.03192254255113381,0.05221075147033162
mig-source-s10-pf-only-autonomous-tissue-t040,peer,canonical disk source pf only autonomous closed direct start s10 t040 tissue dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,-10.0,0.0,tissue,-10.0,0.0,all,True,129.00545257306658,18342,2972,1550,-0.044486141464380645,-22259014680.172043,1.099694592919355,green,green,0.8543555874175209,0.002,1.099694592919355,0.009500000000000005,0.0,0.0,0.0,True,0.8537012259876565,0.0025,0.5636662693841494,0.0,0.016930885475642022,0.010000000000000005,-10.0,0.0,-10.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8835152063220646,0.0015,0.9284896156250142,0.0005,0.8854298700266843,0.0015,0.9304821451191478,0.0005,False,0.8543555874175209,0.002,0.5636662693841494,0.0,0.016930885475642022,0.010000000000000005,-10.0,0.0,-10.0,0.0,False,0.0,0.0,0.0,0.0,False,81,81,0.0004999999999999727,0.0004999999999999727,0,1.0997534183548434,0.0,1.0997534183548434,1.0997534183548434,3.140290796624407,3.453545538215946,1.0997534183548434,0.04880247175551574,0.0,0.0,1.099697275428129,1.0997061171618452,1.099697275428129,1.0997061171618452,0.0,0.0,0.0,0.0,-0.004872214977175718,0.0007144244920891023,0.00558663946926482,-0.004872214977175718,0.0007144244920891023,0.00558663946926482,0.030043398501741085,0.03016649985766766,0.0001231013559265734,-0.004870811943763839,0.0007236782618526308,0.00559449020561647
mig-source-s20-pf-only-autonomous-lumen-t020,peer,canonical disk source pf only autonomous closed direct start s20 t020 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,20.0,0.0,lumen,20.0,0.0,all,True,102.80598055105656,18342,2972,1550,1.2116301771851863,1.0830037063105766,0.864876412514918,amber,green,0.7414153164759869,0.011500000000000007,0.864876412514918,0.0195,0.01200000000000001,0.0,0.0,False,0.7413019971586219,0.011500000000000007,0.975384665671805,0.02,0.05920521345905228,0.02,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.006780907574576785,0.013000000000000008,0.005307108419746457,0.013000000000000008,0.8247572836245821,0.014000000000000009,0.917443057734869,0.007000000000000003,0.8378065410714681,0.013000000000000008,0.9241336598548587,0.008000000000000004,False,0.7414153164759869,0.011500000000000007,0.975384665671805,0.02,0.05920521345905228,0.02,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,41,41,0.0004999999999999866,0.0004999999999999866,0,0.9980518881131173,0.9607182013226735,1.0096849458305133,0.9980518881131173,3.140290796624407,3.134173158795235,0.9980518881131173,0.01930205703086995,0.0,0.0,0.8983479917380995,0.9348804741821694,0.899944709841476,0.9370196140760976,7.1301778262235445,6.9997716412500885,0.20926285790210308,0.20478807338155078,0.000406078549656504,0.05961129200870879,0.05920521345905228,0.000406078549656504,0.05961129200870879,0.05920521345905228,0.020123076671640976,0.029894445828445165,0.00977136915680419,0.003287907307645119,0.06097771868759777,0.05768981137995265
mig-source-s20-pf-only-autonomous-tissue-t020,peer,canonical disk source pf only autonomous closed direct start s20 t020 tissue dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,-20.0,0.0,tissue,-20.0,0.0,all,True,66.90751386480406,18342,2972,1550,-0.044486141464380624,-23030121413.004402,1.0495293666309937,green,green,0.8595816770918805,0.0015,1.0495293666309937,0.006500000000000002,0.0,0.0,0.0,True,0.8589571462529133,0.002,0.5636662693841494,0.0,0.01828847418374944,0.007000000000000003,-20.0,0.0,-20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8859847925344397,0.0015,0.9290069280761734,0.0005,0.8879093740032298,0.0015,0.9309505430979401,0.0005,False,0.8595816770918805,0.0015,0.5636662693841494,0.0,0.01828847418374944,0.007000000000000003,-20.0,0.0,-20.0,0.0,False,0.0,0.0,0.0,0.0,False,41,41,0.0004999999999999866,0.0004999999999999866,0,1.0497543157580747,0.0,1.0497543157580747,1.0497543157580747,3.140290796624407,3.296533816491834,1.0497543157580747,0.024623302796389683,0.0,0.0,1.0495395337454192,1.0495727242190223,1.0495395337454192,1.0495727242190223,0.0,0.0,0.0,0.0,-0.005969642486690484,0.0004744712055916267,0.0064441136922821106,-0.005969642486690484,0.0004744712055916267,0.0064441136922821106,0.030034383644497092,0.03022711751955978,0.000192733875062686,-0.005968205385910271,0.00048527135758891666,0.006453476743499187
mig-source-s20-pf-only-autonomous-lumen-t030,peer,canonical disk source pf only autonomous closed direct start s20 t030 lumen dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,20.0,0.0,lumen,20.0,0.0,all,True,189.0760967428796,18342,2972,1550,1.5256592568475802,1.0274117861422614,0.9322002258045317,amber,green,0.7414153164759869,0.011500000000000007,0.9322002258045317,0.0295,0.01200000000000001,0.0,0.0,False,0.7413019971586219,0.011500000000000007,1.007764524934687,0.03,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.006780907574576785,0.013000000000000008,0.005307108419746457,0.013000000000000008,0.8247572836245821,0.014000000000000009,0.9035530504890221,0.02550000000000002,0.8378065410714681,0.013000000000000008,0.9118292008987233,0.02550000000000002,False,0.7414153164759869,0.011500000000000007,1.007764524934687,0.03,0.06333078064005919,0.022000000000000016,20.0,0.0,20.0,0.0,False,0.0,0.0,0.0,0.0,False,61,61,0.0004999999999999762,0.0004999999999999762,0,1.021064387695958,0.9919289948214908,1.0394345444171667,1.021064387695958,3.140290796624407,3.2064390994425525,1.021064387695958,0.019628095110314655,0.0,0.0,0.9615043746271579,0.9791828037331621,0.9625223277154373,0.9794823029263114,5.285306186698356,5.287436116294313,0.45951344692676666,0.45562110042013826,-0.0027491572974132927,0.035074835121553016,0.03782399241896631,-0.0027491572974132927,0.035074835121553016,0.03782399241896631,0.019961177375326565,0.02992235774287022,0.009961180367543655,-0.02724629009811362,0.035153815631509044,0.062400105729622665
mig-source-s20-pf-only-autonomous-tissue-t030,peer,canonical disk source pf only autonomous closed direct start s20 t030 tissue dt5e4 steering off,"hydraulic:closed, preferred_hydration, source_driven, autonomous_biomass, source_mode:autonomous_pf, source_pf, source_region:all","area_ratio, max_u, theta_eq_range, storage_strain_range",snes,disk,monolithic,startup,,autonomous_pf,True,pf,-20.0,0.0,tissue,-20.0,0.0,all,True,98.32251675007865,18342,2972,1550,-0.35851522112677237,-179488431579.62134,1.0568789549258304,green,green,0.8595816770918805,0.0015,1.0568789549258304,0.006500000000000002,0.0,0.0,0.0,True,0.8589571462529133,0.002,0.5636662693841494,0.0,0.01828847418374944,0.007000000000000003,-20.0,0.0,-20.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.8859847925344397,0.0015,0.9290069280761734,0.0005,0.8879093740032298,0.0015,0.9309505430979401,0.0005,False,0.8595816770918805,0.0015,0.5636662693841494,0.0,0.01828847418374944,0.007000000000000003,-20.0,0.0,-20.0,0.0,False,0.0,0.0,0.0,0.0,False,61,61,0.0004999999999999762,0.0004999999999999762,0,1.0583665275815282,0.0,1.0583665275815282,1.0583665275815282,3.140290796624407,3.3235786660196047,1.0583665275815282,0.028811702356831642,0.0,0.0,1.0568958821123886,1.056957887751013,1.0568958821123886,1.0569578894581628,0.0,0.0,0.0,0.0,0.008077387061207367,0.015292171203365785,0.007214784142158417,0.008077387061207367,0.015292171203365785,0.007214784142158417,0.030375200849158575,0.031218498948095415,0.0008432980989368406,0.008084002265803983,0.01529690579266221,0.007212903526858227
